,timespan,SleepStatus,actigraphy,light,Schedule,detailed_sleepwake
194,194,Sleep,0.0,0.01,0,0.0
195,195,Sleep,0.0,0.01,0,0.0
196,196,Sleep,0.0,0.01,0,0.0
197,197,Sleep,0.0,0.01,0,0.0
198,198,Sleep,0.0,0.01,0,0.0
199,199,Sleep,0.0,0.01,0,0.0
200,200,Sleep,0.0,0.01,0,0.0
201,201,Sleep,0.0,0.01,0,0.0
202,202,Sleep,0.0,0.01,0,0.0
203,203,Sleep,0.0,0.01,0,0.0
204,204,Sleep,0.0,0.01,0,0.0
205,205,Sleep,0.0,0.01,0,0.0
206,206,Sleep,0.0,0.01,0,0.0
207,207,Sleep,0.0,0.01,0,0.0
208,208,Sleep,0.0,0.01,0,0.0
209,209,Sleep,0.0,0.01,0,0.0
210,210,Sleep,0.0,0.01,0,0.0
211,211,Sleep,0.0,0.01,0,0.0
212,212,Sleep,0.0,0.01,0,0.0
213,213,Sleep,0.0,0.01,0,0.0
214,214,Sleep,0.0,0.01,0,0.0
215,215,Sleep,0.0,0.01,0,0.0
216,216,Sleep,0.0,0.01,0,0.0
217,217,Sleep,0.0,0.01,0,0.0
218,218,Sleep,0.0,0.01,0,0.0
219,219,Sleep,0.0,0.01,0,0.0
220,220,Sleep,0.0,0.01,0,0.0
221,221,Sleep,0.0,0.01,0,0.0
222,222,Sleep,0.0,0.01,0,0.0
223,223,Sleep,0.0,0.01,0,0.0
224,224,Sleep,0.0,0.01,0,0.0
225,225,Sleep,0.0,0.01,0,0.0
226,226,Sleep,0.0,0.01,0,0.0
227,227,Sleep,48.0,0.01,0,1.0
228,228,Sleep,0.0,0.01,0,0.0
229,229,Sleep,0.0,0.01,0,0.0
230,230,Sleep,0.0,0.01,0,0.0
231,231,Sleep,0.0,0.01,0,0.0
232,232,Sleep,0.0,0.01,0,0.0
233,233,Sleep,0.0,0.01,0,0.0
234,234,Sleep,0.0,0.01,0,0.0
235,235,Sleep,34.0,0.01,0,0.0
236,236,Sleep,0.0,0.01,0,0.0
237,237,Sleep,0.0,0.01,0,0.0
238,238,Sleep,0.0,0.01,0,0.0
239,239,Sleep,0.0,0.01,0,0.0
240,240,Sleep,0.0,0.01,0,0.0
241,241,Sleep,0.0,0.01,0,0.0
242,242,Sleep,0.0,0.01,0,0.0
243,243,Sleep,0.0,0.01,0,1.0
244,244,Sleep,342.0,0.01,0,1.0
245,245,Sleep,0.0,0.01,0,1.0
246,246,Sleep,0.0,0.01,0,0.0
247,247,Sleep,0.0,0.01,0,0.0
248,248,Sleep,0.0,0.01,0,0.0
249,249,Sleep,0.0,0.01,0,0.0
250,250,Sleep,0.0,0.01,0,0.0
251,251,Sleep,0.0,0.01,0,0.0
252,252,Sleep,0.0,0.01,0,0.0
253,253,Sleep,0.0,0.01,0,0.0
254,254,Sleep,0.0,0.01,0,0.0
255,255,Sleep,0.0,0.01,0,0.0
256,256,Sleep,0.0,0.01,0,0.0
257,257,Sleep,0.0,0.01,0,0.0
258,258,Sleep,0.0,0.01,0,0.0
259,259,Sleep,0.0,0.01,0,0.0
260,260,Sleep,0.0,0.01,0,0.0
261,261,Sleep,0.0,0.01,0,0.0
262,262,Sleep,0.0,0.01,0,0.0
263,263,Sleep,0.0,0.01,0,0.0
264,264,Sleep,0.0,0.01,0,0.0
265,265,Sleep,0.0,0.01,0,0.0
266,266,Sleep,0.0,0.01,0,0.0
267,267,Sleep,0.0,0.01,0,0.0
268,268,Sleep,0.0,0.01,0,0.0
269,269,Sleep,0.0,0.01,0,0.0
270,270,Sleep,0.0,0.01,0,0.0
271,271,Sleep,65.0,0.01,0,1.0
272,272,Sleep,11.0,0.01,0,0.0
273,273,Sleep,0.0,0.01,0,0.0
274,274,Sleep,0.0,0.01,0,0.0
275,275,Sleep,0.0,0.01,0,0.0
276,276,Sleep,0.0,0.01,0,0.0
277,277,Sleep,0.0,0.01,0,0.0
278,278,Sleep,0.0,0.01,0,0.0
279,279,Sleep,0.0,0.01,0,0.0
280,280,Sleep,74.0,0.01,0,1.0
281,281,Sleep,99.0,0.01,0,1.0
282,282,Sleep,0.0,0.01,0,0.0
283,283,Sleep,0.0,0.01,0,0.0
284,284,Sleep,0.0,0.01,0,0.0
285,285,Sleep,0.0,0.01,0,0.0
286,286,Sleep,0.0,0.01,0,0.0
287,287,Sleep,0.0,0.01,0,0.0
288,288,Sleep,0.0,0.01,0,0.0
289,289,Sleep,0.0,0.01,0,0.0
290,290,Sleep,0.0,0.01,0,0.0
291,291,Sleep,0.0,0.01,0,0.0
292,292,Sleep,0.0,0.01,0,0.0
293,293,Sleep,0.0,0.01,0,0.0
294,294,Sleep,0.0,0.01,0,0.0
295,295,Sleep,0.0,0.01,0,0.0
296,296,Sleep,0.0,0.01,0,0.0
297,297,Sleep,0.0,0.01,0,0.0
298,298,Sleep,0.0,0.01,0,0.0
299,299,Sleep,0.0,0.01,0,0.0
300,300,Sleep,0.0,0.01,0,0.0
301,301,Sleep,0.0,0.01,0,0.0
302,302,Sleep,0.0,0.01,0,0.0
303,303,Sleep,0.0,0.01,0,0.0
304,304,Sleep,32.0,0.01,0,0.0
305,305,Sleep,0.0,0.01,0,0.0
306,306,Sleep,0.0,0.01,0,0.0
307,307,Sleep,32.0,0.01,0,1.0
308,308,Sleep,59.0,0.01,0,1.0
309,309,Sleep,0.0,0.01,0,0.0
310,310,Sleep,0.0,0.01,0,0.0
311,311,Sleep,0.0,0.01,0,1.0
312,312,Sleep,262.0,0.01,0,1.0
313,313,Sleep,0.0,0.01,0,1.0
314,314,Sleep,0.0,0.01,0,0.0
315,315,Sleep,103.0,0.01,0,1.0
316,316,Sleep,0.0,0.01,0,0.0
317,317,Sleep,0.0,0.01,0,0.0
318,318,Sleep,0.0,0.01,0,0.0
319,319,Sleep,0.0,0.01,0,0.0
320,320,Sleep,0.0,0.01,0,0.0
321,321,Sleep,0.0,0.01,0,0.0
322,322,Sleep,0.0,0.01,0,0.0
323,323,Sleep,68.0,0.01,0,1.0
324,324,Sleep,222.0,0.01,0,1.0
325,325,Sleep,31.0,0.01,0,1.0
326,326,Sleep,0.0,0.01,0,0.0
327,327,Sleep,2.0,0.01,0,0.0
328,328,Sleep,0.0,0.01,0,0.0
329,329,Sleep,0.0,0.01,0,0.0
330,330,Sleep,0.0,0.01,0,0.0
331,331,Sleep,0.0,0.01,0,0.0
332,332,Sleep,2.0,0.01,0,0.0
333,333,Sleep,0.0,0.01,0,0.0
334,334,Sleep,0.0,0.01,0,0.0
335,335,Sleep,0.0,0.01,0,0.0
336,336,Sleep,0.0,0.01,0,0.0
337,337,Sleep,0.0,0.01,0,0.0
338,338,Sleep,0.0,0.01,0,0.0
339,339,Sleep,0.0,0.01,0,0.0
340,340,Sleep,29.0,0.01,0,0.0
341,341,Sleep,0.0,0.01,0,0.0
342,342,Sleep,0.0,0.01,0,0.0
343,343,Sleep,0.0,0.01,0,0.0
344,344,Sleep,0.0,0.01,0,0.0
345,345,Sleep,0.0,0.01,0,0.0
346,346,Sleep,0.0,0.01,0,0.0
347,347,Sleep,0.0,0.01,0,0.0
348,348,Sleep,0.0,0.01,0,0.0
349,349,Sleep,0.0,0.01,0,0.0
350,350,Sleep,0.0,0.01,0,0.0
351,351,Sleep,0.0,0.01,0,0.0
352,352,Sleep,0.0,0.01,0,0.0
353,353,Sleep,0.0,0.01,0,0.0
354,354,Sleep,0.0,0.01,0,0.0
355,355,Sleep,0.0,0.01,0,0.0
356,356,Sleep,20.0,0.01,0,0.0
357,357,Sleep,0.0,0.01,0,0.0
358,358,Sleep,0.0,0.01,0,0.0
359,359,Sleep,0.0,0.01,0,0.0
360,360,Sleep,0.0,0.01,0,0.0
361,361,Sleep,0.0,0.01,0,0.0
362,362,Sleep,0.0,0.01,0,0.0
363,363,Sleep,0.0,0.01,0,0.0
364,364,Sleep,0.0,0.01,0,0.0
365,365,Sleep,71.0,0.01,0,1.0
366,366,Sleep,0.0,0.01,0,0.0
367,367,Sleep,0.0,0.01,0,0.0
368,368,Sleep,0.0,0.01,0,0.0
369,369,Sleep,0.0,0.01,0,0.0
370,370,Sleep,0.0,0.01,0,0.0
371,371,Sleep,0.0,0.01,0,0.0
372,372,Sleep,0.0,0.01,0,0.0
373,373,Sleep,0.0,0.01,0,0.0
374,374,Sleep,0.0,0.01,0,0.0
375,375,Sleep,0.0,0.01,0,0.0
376,376,Sleep,0.0,0.01,0,0.0
377,377,Sleep,0.0,0.01,0,0.0
378,378,Sleep,0.0,0.01,0,0.0
379,379,Sleep,0.0,0.01,0,0.0
380,380,Sleep,0.0,0.01,0,0.0
381,381,Sleep,2.0,0.01,0,0.0
382,382,Sleep,0.0,0.01,0,0.0
383,383,Sleep,0.0,0.01,0,0.0
384,384,Sleep,0.0,0.01,0,0.0
385,385,Sleep,0.0,0.01,0,0.0
386,386,Sleep,0.0,0.01,0,0.0
387,387,Sleep,0.0,0.01,0,0.0
388,388,Sleep,0.0,0.01,0,0.0
389,389,Sleep,0.0,0.01,0,0.0
390,390,Sleep,0.0,0.01,0,0.0
391,391,Sleep,0.0,0.01,0,0.0
392,392,Sleep,0.0,0.01,0,0.0
393,393,Sleep,0.0,0.01,0,0.0
394,394,Sleep,0.0,0.01,0,0.0
395,395,Sleep,0.0,0.01,0,0.0
396,396,Sleep,0.0,0.01,0,0.0
397,397,Sleep,0.0,0.01,0,0.0
398,398,Sleep,0.0,0.01,0,0.0
399,399,Sleep,0.0,0.01,0,0.0
400,400,Sleep,0.0,0.01,0,0.0
401,401,Sleep,0.0,0.01,0,0.0
402,402,Sleep,0.0,0.01,0,0.0
403,403,Sleep,0.0,0.01,0,0.0
404,404,Sleep,0.0,0.01,0,0.0
405,405,Sleep,0.0,0.01,0,0.0
406,406,Sleep,46.0,0.01,0,1.0
407,407,Sleep,0.0,0.01,0,0.0
408,408,Sleep,0.0,0.01,0,0.0
409,409,Sleep,0.0,0.01,0,0.0
410,410,Sleep,0.0,0.01,0,0.0
411,411,Sleep,0.0,0.01,0,0.0
412,412,Sleep,0.0,0.01,0,0.0
413,413,Sleep,0.0,0.01,0,0.0
414,414,Sleep,12.0,0.01,0,0.0
415,415,Sleep,0.0,0.01,0,0.0
416,416,Sleep,0.0,0.01,0,0.0
417,417,Sleep,0.0,0.01,0,0.0
418,418,Sleep,0.0,0.01,0,0.0
419,419,Sleep,0.0,0.01,0,0.0
420,420,Sleep,0.0,0.01,0,0.0
421,421,Sleep,0.0,0.01,0,0.0
422,422,Sleep,0.0,0.01,0,0.0
423,423,Sleep,34.0,0.01,0,0.0
424,424,Sleep,0.0,0.01,0,0.0
425,425,Sleep,0.0,0.01,0,0.0
426,426,Sleep,0.0,0.01,0,0.0
427,427,Sleep,0.0,0.01,0,0.0
428,428,Sleep,0.0,0.01,0,0.0
429,429,Sleep,108.0,0.01,0,1.0
430,430,Sleep,0.0,0.01,0,0.0
431,431,Sleep,0.0,0.01,0,0.0
432,432,Sleep,0.0,0.01,0,0.0
433,433,Sleep,0.0,0.01,0,0.0
434,434,Sleep,0.0,0.01,0,0.0
435,435,Sleep,0.0,0.01,0,0.0
436,436,Sleep,0.0,0.01,0,0.0
437,437,Sleep,0.0,0.01,0,0.0
438,438,Sleep,80.0,0.04,0,1.0
439,439,Sleep,0.0,0.13,0,0.0
440,440,Sleep,0.0,0.13,0,0.0
441,441,Sleep,0.0,0.13,0,0.0
442,442,Sleep,0.0,0.06,0,0.0
443,443,Sleep,0.0,0.02,0,0.0
444,444,Sleep,0.0,0.02,0,0.0
445,445,Sleep,0.0,0.02,0,0.0
446,446,Sleep,0.0,0.02,0,0.0
447,447,Sleep,0.0,0.02,0,0.0
448,448,Sleep,0.0,0.02,0,0.0
449,449,Sleep,0.0,0.02,0,0.0
450,450,Sleep,0.0,0.06,0,0.0
451,451,Sleep,0.0,0.13,0,0.0
452,452,Sleep,0.0,0.13,0,0.0
453,453,Sleep,0.0,0.14,0,0.0
454,454,Sleep,93.0,0.19,0,1.0
455,455,Sleep,17.0,0.13,0,0.0
456,456,Sleep,0.0,0.13,0,0.0
457,457,Sleep,0.0,0.13,0,0.0
458,458,Sleep,0.0,0.13,0,0.0
459,459,Sleep,0.0,0.13,0,0.0
460,460,Sleep,0.0,0.13,0,0.0
461,461,Sleep,0.0,0.13,0,0.0
462,462,Sleep,0.0,0.13,0,0.0
463,463,Sleep,0.0,0.13,0,0.0
464,464,Sleep,0.0,0.13,0,0.0
465,465,Sleep,0.0,0.13,0,0.0
466,466,Sleep,0.0,0.13,0,0.0
467,467,Sleep,0.0,0.13,0,0.0
468,468,Sleep,0.0,0.13,0,0.0
469,469,Sleep,0.0,0.13,0,0.0
470,470,Sleep,0.0,0.13,0,0.0
471,471,Sleep,0.0,0.13,0,0.0
472,472,Sleep,0.0,0.13,0,0.0
473,473,Sleep,0.0,0.13,0,0.0
474,474,Sleep,89.0,0.09,0,1.0
475,475,Sleep,0.0,0.01,0,0.0
476,476,Sleep,0.0,0.01,0,0.0
477,477,Sleep,0.0,0.01,0,0.0
478,478,Sleep,0.0,0.01,0,0.0
479,479,Sleep,0.0,0.01,0,0.0
480,480,Sleep,0.0,0.01,0,0.0
481,481,Sleep,0.0,0.01,0,0.0
482,482,Sleep,0.0,0.01,0,0.0
483,483,Sleep,0.0,0.01,0,0.0
484,484,Sleep,0.0,0.01,0,0.0
485,485,Sleep,48.0,0.34,0,1.0
486,486,Sleep,0.0,2.0,0,1.0
487,487,Sleep,86.0,0.68,0,1.0
488,488,Sleep,654.0,0.45,0,1.0
489,489,Sleep,460.0,0.66,0,1.0
490,490,Sleep,32.0,1.68,0,1.0
491,491,Sleep,0.0,3.29,0,1.0
492,492,Sleep,150.0,0.61,0,1.0
493,493,Sleep,0.0,0.01,0,1.0
494,494,Sleep,29.0,0.01,0,1.0
495,495,Sleep,131.0,1.41,0,1.0
496,496,Sleep,2.0,1.68,0,0.0
497,497,Sleep,0.0,1.61,0,0.0
498,498,Sleep,0.0,1.38,0,0.0
499,499,Sleep,2.0,1.38,0,0.0
500,500,Sleep,0.0,1.45,0,0.0
501,501,Sleep,0.0,1.68,0,0.0
502,502,Sleep,3.0,1.61,0,0.0
503,503,Sleep,0.0,1.51,0,0.0
504,504,Sleep,0.0,1.51,0,0.0
505,505,Sleep,0.0,1.58,0,0.0
506,506,Sleep,0.0,1.76,0,0.0
507,507,Sleep,0.0,1.68,0,0.0
508,508,Sleep,0.0,1.61,0,0.0
509,509,Sleep,0.0,1.51,0,0.0
510,510,Sleep,0.0,1.54,0,0.0
511,511,Sleep,0.0,1.48,0,0.0
512,512,Sleep,0.0,1.35,0,0.0
513,513,Sleep,0.0,1.35,0,0.0
514,514,Sleep,0.0,1.45,0,0.0
515,515,Sleep,0.0,1.54,0,0.0
516,516,Sleep,0.0,1.76,0,0.0
517,517,Sleep,0.0,1.87,0,0.0
518,518,Sleep,2.0,1.92,0,0.0
519,519,Sleep,0.0,2.0,0,0.0
520,520,Sleep,0.0,1.96,0,0.0
521,521,Sleep,0.0,1.96,0,0.0
522,522,Sleep,0.0,1.72,0,0.0
523,523,Sleep,0.0,1.54,0,0.0
524,524,Sleep,0.0,1.51,0,0.0
525,525,Sleep,0.0,1.48,0,0.0
526,526,Sleep,0.0,1.35,0,0.0
527,527,Sleep,0.0,1.19,0,0.0
528,528,Sleep,0.0,1.02,0,0.0
529,529,Sleep,0.0,0.96,0,0.0
530,530,Sleep,0.0,0.9,0,0.0
531,531,Sleep,0.0,0.79,0,0.0
532,532,Sleep,0.0,0.72,0,0.0
533,533,Sleep,0.0,0.72,0,0.0
534,534,Sleep,0.0,0.82,0,0.0
535,535,Sleep,0.0,0.82,0,0.0
536,536,Sleep,0.0,0.79,0,0.0
537,537,Sleep,0.0,0.72,0,0.0
538,538,Sleep,0.0,0.69,0,0.0
539,539,Sleep,0.0,0.66,0,0.0
540,540,Sleep,32.0,0.51,0,0.0
541,541,Sleep,0.0,0.01,0,0.0
542,542,Sleep,0.0,0.01,0,0.0
543,543,Sleep,0.0,0.01,0,0.0
544,544,Sleep,0.0,0.01,0,0.0
545,545,Sleep,0.0,0.01,0,0.0
546,546,Sleep,0.0,0.01,0,0.0
547,547,Sleep,0.0,0.01,0,0.0
548,548,Sleep,0.0,0.01,0,1.0
549,549,Sleep,353.0,0.03,0,1.0
550,550,Sleep,0.0,0.01,0,1.0
551,551,Sleep,0.0,0.01,0,0.0
552,552,Sleep,0.0,0.01,0,0.0
553,553,Sleep,0.0,0.01,0,0.0
554,554,Sleep,0.0,0.01,0,0.0
555,555,Sleep,0.0,0.01,0,0.0
556,556,Sleep,0.0,0.01,0,0.0
557,557,Sleep,0.0,0.01,0,0.0
558,558,Sleep,0.0,0.01,0,0.0
559,559,Sleep,0.0,0.01,0,0.0
560,560,Sleep,0.0,0.01,0,0.0
561,561,Sleep,0.0,0.01,0,0.0
562,562,Sleep,0.0,0.01,0,0.0
563,563,Sleep,0.0,0.01,0,0.0
564,564,Sleep,0.0,0.01,0,0.0
565,565,Sleep,0.0,0.01,0,0.0
566,566,Sleep,0.0,0.01,0,0.0
567,567,Sleep,28.0,0.01,0,0.0
568,568,Sleep,0.0,0.01,0,0.0
569,569,Sleep,0.0,0.01,0,0.0
570,570,Sleep,0.0,0.01,0,0.0
571,571,Sleep,0.0,0.01,0,0.0
572,572,Sleep,0.0,0.01,0,0.0
573,573,Sleep,0.0,0.01,0,0.0
574,574,Sleep,0.0,0.01,0,0.0
575,575,Sleep,0.0,0.01,0,0.0
576,576,Sleep,0.0,0.01,0,0.0
577,577,Sleep,0.0,0.01,0,0.0
578,578,Sleep,0.0,0.01,0,0.0
579,579,Sleep,0.0,0.01,0,0.0
580,580,Sleep,0.0,0.01,0,0.0
581,581,Sleep,0.0,0.01,0,0.0
582,582,Sleep,0.0,0.01,0,0.0
583,583,Sleep,0.0,0.01,0,0.0
584,584,Sleep,0.0,0.01,0,0.0
585,585,Sleep,0.0,0.01,0,0.0
586,586,Sleep,0.0,0.01,0,0.0
587,587,Sleep,0.0,0.01,0,0.0
588,588,Sleep,0.0,0.01,0,0.0
589,589,Sleep,0.0,0.01,0,0.0
590,590,Sleep,0.0,0.01,0,0.0
591,591,Sleep,0.0,0.01,0,0.0
592,592,Sleep,0.0,0.01,0,0.0
593,593,Sleep,0.0,0.01,0,0.0
594,594,Sleep,0.0,0.01,0,0.0
595,595,Sleep,0.0,0.01,0,0.0
596,596,Sleep,0.0,0.01,0,0.0
597,597,Sleep,0.0,0.01,0,0.0
598,598,Sleep,0.0,0.01,0,0.0
599,599,Sleep,0.0,0.01,0,0.0
600,600,Sleep,0.0,0.01,0,0.0
601,601,Sleep,0.0,0.01,0,0.0
602,602,Sleep,0.0,0.01,0,0.0
603,603,Sleep,0.0,0.01,0,0.0
604,604,Sleep,56.0,0.01,0,1.0
605,605,Wake,126.0,0.01,0,1.0
606,606,Wake,0.0,0.01,0,0.0
607,607,Wake,0.0,0.01,0,0.0
608,608,Wake,0.0,0.01,0,0.0
609,609,Wake,131.0,0.01,0,1.0
610,610,Wake,262.0,0.37,0,1.0
611,611,Wake,14.0,0.66,0,1.0
